rose water	104117162
rotunda	104119673 104119748
rotundity	105080300 107097164
rotundly	400447080
rotundness	105080300
rouble	113721181
roue	110525535
rouge	104119846 200041285
rouge et noir	100496114
rouge plant	111877042
rougeberry	111877042
rouged	301719086
rough	108658537 201758260 300084822 300300342 300305748 300667354 300751523 300919090 301377110 301808700 301818468 301958019 302237329 302246206 302251311 302253147 400355712 400355829
rough bindweed	112491412
rough bristlegrass	112155566
rough cut	106630151
rough drawing	103235488
rough fish	102515879
rough green snake	101732948
rough horsetail	113241020
rough in	201758260
rough out	201758260
rough pea	112560069
rough rider	110559809
rough sledding	114433284
rough up	201400977
rough water	114547631
rough-and-ready	300839043
rough-and-tumble	101174931 301671524
rough-cut	301009605 301957020
rough-dry	200219314
rough-haired	300216849
rough-hew	201263414
rough-house	202521494
rough-leaved aster	111957093
rough-legged hawk	101610241
rough-sand	201389265
rough-skinned newt	101633995
rough-spoken	301958194
rough-stemmed goldenrod	112038740
rough-textured	302250830
roughage	107584383
roughcast	104120015 115030579 201263414 201364482 201664666
roughdried	301363147
roughen	201256185
roughened	302247873
roughhewn	301009605
roughhouse	200605742
roughish	302250156
roughleg	101610241
roughly	400007414 400355712 400355829
roughneck	109898763
roughness	100375254 104824795 104955418 104995915 113559097 114000631 114547631
roughrider	110559970
roughshod	300791823 301266123 302163708
roughtail stingray	101501047
roulade	106870641 107891536
rouleau	104120132 104120218
roulette	100510410 104120288 113931594
roulette ball	104120410
roulette wheel	104120500
roumania	108831830
roumanian	302973817
round	100416111 100467445 101057612 103036796 104120735 104126986 106705209 107067129 107677901 107900241 108524402 109439975 115281525 115313066 200046099 200144967 200145443 200474730 200864347 200982371 201862896 300919638 301460294 302048059 400071856
round angle	113915367
round arch	104120859
round bone	105286820
round clam	101960679 107802832
round dance	100538334 100540864
round dancing	100538334
round down	200145443
round file	104121395
round hand	106362493
round kumquat	112734118
round ligament of the uterus	105303239
round of drinks	107900241
round of golf	100467445
round off	200144967 200145443 200474730
round out	200144967 200145443 200172394 200486205
round robin	106638472 107482719
round scad	102584273
round shape	113888104
round shot	102954379
round steak	107678020
round table	104121648 107160022
round the bend	302082059
round the clock	400153617
round top	103039237
round trip	100309605
round up	201384567
round whitefish	102542525
round window	105333334
round-arm	302480427 400447267
round-backed	301242072
round-bottom	302451951
round-bottom flask	104121062
round-bottomed	302451951
round-eyed	300957950 302279797
round-faced	300237415
round-fruited	301086065
round-headed leek	112456470
round-leaved rein orchid	112088318
round-shouldered	301242072
round-spored gyromitra	113058565
round-table conference	107160022
round-tailed muskrat	102341101
round-the-clock	300597829
round-the-clock patrol	100826757
round-trip light time	115155878
round-trip ticket	106531927
roundabout	102969645 104473168 300766556 300770909
roundabout way	103187172
rounded	302051318
roundedness	105077622
roundel	102716785 104121163 106392757
roundelay	107067531
rounder	104121287 110277344
rounders	100477151
roundhead	110560083 110560213
roundheaded	300263194
roundhouse	100137050 104121522
rounding	100073997
rounding error	100073997
roundish	302050471
roundly	400230431 400280953
roundness	105008078 105080080 105130471 107097164
roundsman	110560292
roundtable	107160022
roundup	100636787 100923441 106481268
roundworm	101932753 114148948
rous	111292513
rouse	200018806 201766380 202060390 202088053
rouser	110783653
rousing	100243675 301903674 302314706
rousseau	111292679 111292962
rousseauan	302869628
roustabout	110018308
rout	107491544 108201518 201106659 201111362 201284385 201285016
rout out	201111362 202060390 202297226
rout up	202297226
route	104103160 108633886 201956423 201956609 201959223
routemarch	100292720
router	104121813 104121938 110560429
router plane	104122090
routine	101028424 106594579 106905066 301678797
routinely	400212244
roux	107855454
rove	201885173
rove beetle	102183527
rover	110560541 110785347
roving	100297888 302135465
row	100446336 103124680 105052831 107198809 108448447 108450457 109440243 201950855
row house	104122350
row of bricks	104122764
rowan	112679069
rowan tree	112679069
rowanberry	112679242
rowboat	103204585
rowdily	400447380
rowdiness	114000631
rowdy	109898763 301671363
rowdyism	114000631
rowel	104122238
rower	110388619
rowing	100446336
rowing boat	104122550
rowing club	108247140
rowlock	103911849
rowlock arch	104122636
roy chapman andrews	110837916
roy lichtenstein	111151648
roy orbison	111236090
roy wilkins	111407687
royal	102433289 104122896 300657708 301595801 301596916 302800403 302800622
royal academy	108298126
royal academy of arts	108298126
royal agaric	113023510
royal air force	108212072
royal blue	104977129
royal brace	104123000
royal canadian mounted police	108227591
royal casino	100499839
royal charter	106488880
royal court	108068698 108346249
royal family	108170336
royal fern	112974244
royal flush	107974469
royal house	108170336
royal jelly	114798389
royal line	108170336
royal mast	104123090
royal national eisteddfod	100518136
royal osmund	112974244
royal palm	112617470
royal poinciana	112515299
royal purple	104977898
royal road	100174976
royal society	108298330
royal society of london for improving natural knowledge	108298330
royal stag	102433289
royal tennis	100484716
royal velvet plant	111995723
royalism	101216038
royalist	109921581 110347490
royally	400126869
royalty	108170336 113278881
roystonea	112617286
roystonea oleracea	112617610
roystonea regia	112617470
rozelle	112200149
rpa-abb	108027998
rpm	115307088
rtlt	115155878
ru	114677421
ru 486	102670723
ruanda	108832898
ruandan	303124154
rub	100125946 105699109 201252288 201253472 202124339
rub al-khali	109195008
rub along	202594620
rub down	201235302 201256577
rub off	201256577
rub out	201551500
rub up	100899687
rub-a-dub	107406973
rubato	115290234
rubber	102738543 103092620 104123606 107480405 115030825 115031356 200136062 301132700
rubber band	104123192
rubber boa	101745088
rubber boot	104123388
rubber bullet	104123483
rubber cement	114729547
rubber eraser	104123606
rubber plant	112423345
rubber stamp	101143803 103493970
rubber tire	102974626
rubber tree	112946596
rubber-base paint	103651334
rubber-necking	100881285
rubberise	200136062
rubberize	200136062
rubberlike	300848408
rubberneck	110560663 110616097 202155170
rubbernecker	110560663
rubberstamp	200676436 201276196
rubbery	300848408 302454931
rubbing	100713284 104123838 111479937
rubbing alcohol	104124013
rubbish	106624351 114881648 201064187
rubbish dump	108577564
rubbish heap	108591389
rubbishy	302513701
rubble	114882048
rubdown	100259538
rube	110823706
rube goldberg	111024481
rubefacient	104124183
rubel	113722161
rubella	114146741
rubella panencephalitis	114368125
rubens	111293094
rubeola	114146526
rubia	112681557
rubia cordifolia	112681806
rubia tinctorum	112681988
rubiaceae	112680770
rubiaceous plant	112681362
rubiales	112680491
rubicelle	115076175
rubicon	105757039 108662127
rubicund	301175683
rubidium	114677133
rubidium-strontium dating	100995081
rubify	200536440
rubin test	105752921
rubinstein	111293276 111293469
ruble	113721181 113724636
rubor	114359944
rubric	105848285 106356368 106357363 106665359 106665457 106756695 200536561
rubricate	200998855 201687852 201760719 202552407
rubus	112673817
rubus australis	112674197
rubus caesius	112676487
rubus canadensis	112676006
rubus chamaemorus	112678055
rubus cissoides	112674197
rubus cuneifolius	112674988
rubus flagellaris	112676112
rubus fruticosus	112674773
rubus hispidus	112676366
rubus idaeus	112677130
rubus idaeus strigosus	112677289
rubus loganobaccus	112675823
rubus occidentalis	112677446
rubus odoratus	112678270
rubus parviflorus	112677843
rubus phoenicolasius	112678516
rubus saxatilis	112674394
rubus spectabilis	112677670
rubus strigosus	112677289
rubus trivialis	112676259
rubus ursinus	112675420
rubus ursinus loganobaccus	112675823
ruby	104970765 113393435 115032709 300382159
ruby spinel	115075696
ruby wood	112587132
ruby-crowned kinglet	101566858
ruby-crowned wren	101566858
ruby-red	300382159
ruck	108199964 113930861 201281618
ruck up	201281618
ruckle	201280991 202179727
rucksack	102772753
ruckus	100554860
ruction	100554860
rudaceous rock	114721869
rudapithecus	102480870
rudbeckia	112028486
rudbeckia hirta	112028956
rudbeckia laciniata	112029218
rudbeckia laciniata hortensia	112029516
rudbeckia serotina	112028956
rudd	101445351
rudder	104124310 104124558
rudder blade	104124733
rudder-like	302156917
rudderfish	102581722 102607110
rudderless	301917033
rudderpost	104124841
rudderstock	104124841
ruddiness	104984679
ruddle	115032854 200536650 201521185
ruddles	111964129
ruddy	300382159 301175683
ruddy duck	101852504
ruddy turnstone	102027893
rude	300644966 300645747 300821744 301957679 301959465
rudely	400220161
rudeness	104921469 114496208
rudiment	105611777
rudimentary	300527142 300746326 301862358
rudiments	105881364 106652212
rudolf bultmann	110890716
rudolf christian karl diesel	110954879
rudolf diesel	110954879
rudolf hess	111067696
rudolf karl bultmann	110890716
rudolf karl virchow	111387190
rudolf ludwig mossbauer	111213804
rudolf nureyev	111230600
rudolf serkin	111313324
rudolf steiner	111335244
rudolf virchow	111387190
rudolf wurlitzer	111419269
rudolph laban	111133591
rudra	109551371
rudyard kipling	111125768
rue	104125011 107551058 107836273 112727959 201800593
rue anemone	111747176
rue family	112727404
rueful	301747755
ruefully	400219478
ruefulness	107551058
ruf	108060600
ruff	101262060 102032689 103028429 105554630 201080628
ruffed grouse	101800527
ruffian	109898763
ruffianism	100738287
ruffianly	302522699
ruffle	101178825 103028429 103402368 201389955 201390147 201394460 201421321 201594278 201792866 201794567 201920627 202043899
ruffle up	201390147
ruffled	300058955 300088842
rufous rubber cup	113005027
rug	104125115
rug beater	102970859
rug merchant	110561611
rug pad	102971078
ruga	105615026
rugby	100472041
rugby ball	104125632
rugby football	100472041
rugel's plantain	112620856
rugelach	107954026
rugged	300710810 300751671 302247490 302251550
rugged individualism	105972166
ruggedisation	100831382
ruggedise	200165052
ruggedization	100831382
ruggedize	200165052
ruggedly	400503188
ruggedness	104717864 104779627 105038369
ruggelach	107954026
rugger	100472041
rugose	302250225
rugulah	107954026
ruholla khomeini	111123998
ruhr	108793971 109440438
ruhr river	109440438
ruhr valley	108793971
ruin	100218640 104125729 107332733 107349843 113487515 114585916 200580070 201431014 201566925 201569271 202323145 202564777
ruination	100218640 107332733 107349843 114585916
ruined	300739843 301454181 302342313
ruiner	110028370
ruining	100218640
ruinous	300589576 301165179
ruinously	400447534
rule	104125870 105675457 105854581 105855459 105882839 105922132 106664809 106664987 106801754 107274440 114466399 115320659 200235558 200717773 200974031 201693915 202592711 202650318 202722870
rule book	107970797
rule in	201150028
rule of cy pres	105857218
rule of evidence	106666108
rule of grammar	107274843
rule of law	113992420
rule of morphology	107275161
rule of thumb	105857068
rule out	200687320 201150028 202635471
rule-governed	301966617
ruled	302337757
ruler	104125870 110560786
rulership	100600349
rules of order	106665623
ruling	101193648 301833150
ruling class	108404537
ruly	302432336
rum	100496342 107921278 300971199
rum baba	107645507
rum cherry	112669649
rum cocktail	107930653
rum nose	114420444
rum sling	107934191
rum-blossom	114420444
rumania	108831830
rumanian	106981017 109747627 302973817
rumansh	106980848 302799855
rumba	100538122 100542816 107070804 201901772
rumble	101179139 104126185 107407083 201047591 202191766
rumble seat	104126324
rumbling	107407083 301459887
rumbustious	301670742
rumen	102402076
rumex	112624545
rumex acetosa	112624989
rumex acetosella	112625221
rumex obtusifolius	112625400
rumex scutatus	112625606
ruminant	102401652 302800744
ruminantia	102401384
ruminate	200632042 201176852
rumination	100119899 100280221 105793513
ruminative	302428209
ruminator	110359217
rummage	100948622 114524403 201321709
rummage sale	101122171
rummer	104126454
rummy	100496342 110057110 300971199
rumohra	113221704
rumohra adiantiformis	113221884
rumor	107238110 201044100
rumormonger	110158867
rumour	107238110 201044100
rumourmonger	110158867
rump	102466242 105566889 107678578
rump roast	107678723
rump steak	107678363
rumpelstiltskin	110561695
rumple	200565934 201281420 201390147
rumpled	302433993
rumpus	100554860 202591344
rumpus room	104126572
rumrunner	110562056
run	100190414 100294760 100309697 100309837 100559920 100792739 105052992 107422377 107457610 107475061 107488069 108477596 109438816 113782269 114019420 115286931 200333482 200335613 200445584 200518609 200540190 200550143 201088514 201096497 201146304 201214794 201528454 201529078 201645087 201721028 201750167 201868024 201918940 201930264 201930937 201931400 201931700 201931856 202064720 202070867 202079296 202096576 202104107 202247038 202427021 202448714 202530978 202569242 202618269 202653599 202654212 202691775 202692467 202725274 202726779 202727159 202732914
run a risk	202550045
run across	202026953
run afoul	202573062
run aground	202026205 202026332
run along	202709399
run around	201887709
run away	202079296 202104754
run bases	201931164
run batted in	100191029
run by	202056150
run down	200099271 200106714 202008241 202072151 202156708 202285714 202381924
run dry	202777714
run for	202654212
run into	201238728 201242872 202026953 202736201
run low	201195306
run off	201083898 201740180 202006752 202014892 202071817 202077642 202078114
run on	200965904 202690077
run out	200099271 200561324 200562648 200562791 202014892 202073816 202075385 202690607
run over	200106714 202076087
run roughshod	202521249
run short	201195306
run through	201159815 201164263
run up	200159361 201331921 201458383 201670499 202326225
run-down	301096582 302591968
run-in	107198809
run-of-the-mill	301679481
run-of-the-mine	301679481
run-on	300876810
run-on sentence	106613406
run-resistant	301779825
run-through	100899204
run-time	115287171 115287321
run-time error	107314934
run-up	100477799 107428970
runabout	104104467
runaway	107490247 110134739 300603794
runaway robin	112868134
runch	111915027
runcible spoon	104126724
runcinate	302255381
runcinate leaf	113182152
rundle	104126845
rundown	106481545
rundstedt	111293669
rune	106853237
rung	104126845 104126986
runic	302949573
runic letter	106853237
runnel	109438816
runner	102579795 104127187 104127360 109853766 109861084 110562165 110562318 110562445 110634850 113148602
runner bean	107744367 112578186
runner-up	110562614
runner-up finish	107369104
runniness	104944220
running	100294760 100440979 100559920 101139306 114032966 300595391 301095421 301243286 301243464 301244630 301448329
running away	100046918
running back	110562718
running blackberry	112675148
running board	104127433
running game	100559920
running hand	106361681
running head	106356501
running headline	106356501
running light	104221716
running mate	110562977
running noose	103835103
running pine	113244383
running play	100559920
running pop	112405356
running postman	112557758
running shoe	104127583
running start	107340862 107344433
running stitch	104127687
running suit	104127789
running time	115321021
running title	106356811
runny	302269502
runoff	100184206 107421872
runproof	301779825
runt	110563101
runtime error	107314934
runtiness	105114795
runty	301397563 302396358
runup	107428970
runway	104127936 104128092 104128236 104470914
runyon	111293897
rupee	113725909 113726379 113726748 113727002 113727258 113727520
rupert	111294093
rupert brooke	110885577
rupert murdoch	111216924
rupestral	303145662
rupestral plant	113144778
rupestrine plant	113144778
rupiah	113727779
rupicapra	102421863
rupicapra rupicapra	102421982
rupicola	101553594
rupicola peruviana	101553941
rupicola rupicola	101553721
rupicolous	303145662
rupicolous plant	113144778
ruptiliocarpon	112722661
ruptiliocarpon caracolito	112722884
rupture	100377523 107328414 114318750 201576346
ruptured intervertebral disc	114320081
rupturewort	111831197
rural	302057872 302801550
rural area	108662297
rural free delivery	106275795
ruralism	104927414 107169374
ruralist	109990665 110563270
rurality	104927414
rurally	400144584
ruritania	105639464
ruritanian	109626841 302801724
rus	109025000
ruscaceae	112485408
ruscus	112483456
ruscus aculeatus	112483639
ruse	100173419
rush	100556685 100561330 107450952 107454840 107543858 111294259 111763763 200460251 200460453 201122368 201648064 202062918 202063390 202063698 301274714 301995911
rush along	202062918
rush aster	111957176
rush away	202063603
rush candle	104128322
rush family	111763578
rush grass	112161420
rush hour	115253940
rush nut	112171486
rush off	202063603
rush out	201970508
rush rose	112396757
rush-grass	112161420
rushdie	111294444
rushed	301274714
rusher	110563352 110563494 110563624
rushing	100556685 100561330
rushlight	104128322
rushlike	300211580
rushmore	109440546
rushy	302584626
rusk	107705587
ruskin	111294704
russel crouse	110936639
russell	111294802 111295025 111295160 111295334 111295485 111295626 111295762
russell's body	109440804
russet	104128436 300383854
russet scab	114305051
russia	109025184 109025654 109028783 109030093
russia leather	114785144
russian	106957110 109747745 302968822
russian agency	108502840
russian almond	112670990
russian bank	100497771
russian cactus	111855359
russian capital	109026438
russian dandelion	112045274
russian dressing	107850848
russian federation	109028783
russian mayonnaise	107850848
russian monetary unit	113721054
russian olive	112346886
russian orthodox	302965144
russian orthodox church	108103787
russian revolution	101310245 101310499
russian river	109440937
russian roulette	100191780
russian soviet federated socialist republic	109030093
russian thistle	111855359
russian tumbleweed	111855359
russian vine	112621867
russian wolfhound	102093274
russian-speaking	300501775
russo-japanese war	101310751
russula	113030540
russulaceae	113030824
rust	113084029 113573473 114301157 114913630 200240500 200274762 200275082 300383936
rust fungus	113084029
rust inhibitor	114749095
rust mite	101784516
rust-brown	300383936
rust-colored	300401798
rust-free	302060796
rust-red	300384052
rust-resistant	302060957
rustbelt	108582535
rusted	302060387
rustic	110563789 300639749 302058442 302059045
rusticate	200536749 201558108 202507881 202510065 202622595
rustication	100209543 100210150 100213400 100915105 114602760
rusticism	107169374
rusticity	104823356
rustiness	105656601 114602910
rusting	113573473
rustle	107407383 202187108 202274935 202281983
rustler	110564037
rustless	302060657
rustling	100968608 107407383 301459000
rustproof	302060864
rustproofed	302060864
rusty	300383936 301644033 302060498 302237950
rusty blackbird	101577442
rusty grackle	101577442
rusty rig	112423781
rusty woodsia	113223023
rusty-brown	300384150
rusty-red	300384052
rut	101028686 113916847 114061746 201279995 202730580
ruta	112727800
ruta graveolens	112727959
rutabaga	107752063 111898329
rutabaga plant	111898329
rutaceae	112727404
ruth	106446038 107569430 111295942 111296090
ruth benedict	110863997
ruth fulton	110863997
ruth saint denis	111333906
ruth st. denis	111333906
ruthenium	114677421
rutherford	111296275 111296539 113667702
rutherford atom	106113353
rutherford b. hayes	111056136
rutherford birchard hayes	111056136
rutherfordium	114677595
ruthful	301747755
ruthfulness	107550597
ruthless	301511765
ruthlessly	400447656
ruthlessness	104838495 107521621
rutile	115032966

rutilus	101444976
rutilus rutilus	101445091
rutland	109171620
rutledge	111296666
rutted	302252105
ruttish	302139048
rutty	302252105
ruvettus pretiosus	102625342
rv	104072384
rwanda	108832898
rwanda franc	113700694
rwandan	109768840 303124154
rwandese republic	108832898
rya	104128520
rya rug	104128520
rydberg	113665373
rydberg constant	113665373
rydberg unit	113665373
rydberg's penstemon	112908776
rye	107923669 112154542 112177696
rye bread	107701475
rye ergot	112986711
rye grass	112145144
rye whiskey	107923669
rye whisky	107923669
ryegrass	112145144
rynchopidae	102046151
rynchops	102046313
rypticus	102572943
ryukyu islands	108944464
ryukyuan	106942236 109737914
s	105019769 106846162 113658719 113855574 114680398 115259923
s wrench	104381608
s-shape	113891154
s-shaped	302157723
s. s. van dine	111419118
s. smith stevens	111337514
s.c.	109160577
s.d.	109161650
s.t.p.	113802551
s.u.v.	104293103
s/n	113847877
sa	108229067
sa node	105396803
saale	109441047
saale glaciation	113508994
saale river	109441047
saame	106972167 109739429
saami	106972167 109739429
saarinen	111296961 111297086
saba	108767000
sabah	108986934
sabahan	109741460 303124283
sabal	112617767
sabal palmetto	112617895
sabaoth	108200970
sabaton	104266578
sabayon	107637106
sabbat	108415537
sabbatarian	110564172 303124415
sabbath	115189797
sabbath school	108429449
sabbatia	112318682
sabbatia angularis	112318912
sabbatia campestris	112319154
sabbatia stellaris	112318912
sabbatic	303124657
sabbatical	115164809 303124535 303124657
sabbatical leave	115164809
sabbatical year	115164943
sabbatum	115189617
sabellian	106975194
saber	102990947 104128605 201329412 201557404
saber rattling	100958283
saber saw	104128822
saber-toothed	302448280
saber-toothed tiger	102133197
sabertooth	102133197
sabertoothed	302448280
sabicu	111783611 111783809
sabicu wood	111783809
sabin	111297269 113632058
sabin vaccine	104129105
sabine	109441209 109736629 302801882
sabine pine	111638976
sabine river	109441209
sabinea	112589370
sabinea carinalis	112589542
sable	102453057 104129356 104129443 104967759 114790125 300392548
sable antelope	102428533
sable brush	104129443
sable coat	104129586
sable's hair pencil	104129443
sabot	103051675 104129672
sabotage	101247442 202549304
saboteur	110107024 110564305
sabra	109735370
sabre	102990947 104128605 201329412 201557404
sabre rattling	100958283
sabre-toothed	302448280
sac	105523321 109687420 113113481 113937488
sac fungus	113043894
sacagawea	111297490
sacajawea	111297490
saccade	100336814 100339097
saccadic	302801985
saccharase	114945760
saccharic acid	114763913
saccharide	114816873
saccharify	200565591 202200397
saccharin	107875118
saccharine	302377134
saccharinity	105001792
saccharomyces	113046181
saccharomyces cerevisiae	113046614
saccharomyces ellipsoides	113046775
saccharomycetaceae	113045957
saccharose	115087345
saccharum	112152816
saccharum bengalense	112153668
saccharum munja	112153668
saccharum officinarum	112153019
sacco	111297670
sacculate	302802132
sacculated	302802132
saccule	105330118
sacculus	105330118
sacerdotal	302910918 302911164
sacerdotalism	105960687
saceur	108192599
sachem	110564497 110564644
sachet	104129779
sachs disease	114192846
sachsen	108787012
sack	100217041 100969550 103017092 103487335 104129919 104130120 107913950 113791346 113937488 201488777 202296219 202350044 202407967
sack coat	104130542
sack out	200017858
sack race	107478427
sack up	202296219
sackbut	104130217
sackcloth	104130322 104130411
sackcloth and ashes	107228810
sacked	300739253
sackful	113791346
sacking	100217041 104130661
saclant	108192132
saclike	300538524
sacque	104130120
sacral	302064067 303124832
sacral nerve	105577466
sacral plexus	105516185
sacral vein	105386978
sacral vertebra	105597246
sacrament	101036957
sacrament of the eucharist	101037885
sacramental	302942540
sacramental manduction	101038365
sacramental oil	103030033
sacramental wine	107909400
sacramento	109087443
sacramento mountains	109441362
sacramento river	109441507
sacramento sturgeon	102643256
sacred	300521748 302061714 302062014 302062466 302597576
sacred college	108102739
sacred college of cardinals	108102739
